Y,X,Name,description
41.2480717,-80.3310978,Jefferson Township Park,
41.1225398,-80.332974,Westminster College (Fractured Grape),
41.1192281,-80.3286919,Hoyt Winter Cat Painting (Hoyt Science Center),
41.092595,-80.3231934,Maple Grove Mennonite Church,
41.112781,-80.2577461,Volant Fire Department,Good luck getting reception here.
41.1120232,-80.4337527,Pulaski Presbyterian Church,
41.2211075,-80.2386153,Bessie,
41.2264516,-80.2383766,In Honor of Mercer County Fallen Heroes Global War in Terror,
41.2271234,-80.2377328,Mercer Mercantile Store,
41.2271678,-80.2387816,General Hugh Mercer,
41.2196287,-80.2170557,Bible Baptist Church,
41.1565404,-80.5774641,Hubbard Public Library,
41.2635295,-80.475626,Sharpsville Municipal Building,
41.228263,-80.444577,The Church of Christ,
41.225491,-80.451587,St. John's Orthodox Cemetery,
41.235938,-80.415999,St. Jude's Episcopal Church,
41.23648,-80.396732,Shenango Valley Masonic Lodge,
41.236142,-80.461055,War on Terror Veterans Memorial,
41.238206,-80.468139,St. Michael Memorial Statue,
41.244858,-80.456393,ST. Rose Cemetery,
41.283344,-80.42875,Albert Bushnell Hart,
41.283729,-80.428428,The Tara,
41.28325,-80.42603,US Post Office,
41.267779,-80.471093,Erie Extension Canal,
41.265086,-80.475009,"US Post Office, E Shenango St, Sharpsville",
41.261198,-80.478703,Saint Bartholomew Roman Catholic Church,
41.232717,-80.513991,Church of the Sacred Heart,
41.233713,-80.51289,First United Methodist Church,
41.232823,-80.509749,Christmas Torch,
41.233236,-80.509457,Winner International,
41.235114,-80.509522,Sharon Hall,
41.235633,-80.508972,Nittany Lion,
41.23304,-80.504447,Covenant Presbyterian Church,
41.223328,-80.493219,Sts. Peter and Paul Lutheran Church,
41.216471,-80.494202,St. Anthonys,
41.219966,-80.503148,Second Baptist Church,
41.215047,-80.504751,New Hope Baptist Church,
41.214821,-80.500185,Jesus Church,
41.210961,-80.496484,Greek Orthodox Church of Annunciation,
41.21187,-80.501267,Our Lady Of Fatima Church,
41.211783,-80.506168,NLMK Circles Statue,
41.202897,-80.495212,Wheatland- Farrell United Methodist Church,
41.200724,-80.492146,American Legion - Post 432,
41.329006,-80.435023,First Baptist Church,
41.172807,-80.457698,"US Post Office, West Middlesex",
41.229811,-80.565728,Brookfield Cemetery,
41.21725,-80.555956,Walk of Life Garden,
41.16297,-80.568835,Al's Pub & Grille,
41.155402,-80.568986,Central Christian Church,
41.15511,-80.570314,First United Methodist Church,
41.15507,-80.571631,Calvary Baptist Church,
41.123118,-80.335708,New Wilmington Alliance Church,
41.247327,-80.281836,RV Village Pavillion,
41.225938,-80.259753,I Smell Honey,
41.226607,-80.510285,Budd Street Public Park and Canoe Launch,
41.406651,-80.387336,First Baptist Church of Greenville,
41.406181,-80.396747,St. Michael's Church,
41.403704,-80.455914,West Salem Volunteer Fire Department,
41.404265,-80.388312,US Post Office,
41.404694,-80.381172,Greenville Fire Department,
41.412649,-80.383421,Roth Hall,
41.413611,-80.384444,"US Post Office - Thiel Campus,Packard Ave, Greenville",
41.413198,-80.384225,The Cardinal Cassidy Garden,
41.412417,-80.382872,Langheim Memorial Library,
41.403245,-80.393906,Greenville Area Historical Society Museum,
41.404854,-80.390131,Downtown Greenville Mural,
41.405451,-80.385996,Holy Trinity Luthern Church,
41.42085,-80.379665,Greenville Alliance Church,
41.448094,-80.398949,Greenville Municipal Airport,
41.379943,-80.3319353,Swing Men at Hempfield Park,
41.424365,-80.38922,St. Paul's Fountain,
41.452926,-80.314223,Stevenson Cemetery,
41.488271,-80.438842,Allegheny Wesleyan Methodist,
41.484667,-80.439499,Mark Twain Manor/Gibson House,
41.484442,-80.436039,Jamestown Presbyterian Church,
41.35129,-80.082302,Sandy Lake Fire Department,
41.335236,-80.09748,"""Freedom Road""",
41.336196,-80.104957,St. Columbkille Roman Catholic Church,
41.339912,-80.108383,US Post Office,
41.44718,-80.206452,James Sheakley,
41.154667,-80.104613,Brad Holmes Memorial,Fireman Statue <br>Brad Holmes was a firefighter with Pine Twp. Engine Co. He was severely injured during a fire on February 29th 2008. He succumbed to those injuries 5 days later.
41.157549,-80.087907,Grow Your Mind,A tree in a skull represents a growing intellect
41.159365,-80.086323,Grace United Methodist Church,
41.161407,-80.087385,Wagon Wheel of Steel,Sculpture
41.141147,-80.156754,Grove City Watermill,
41.15519,-80.110013,Beloved Disciple Catholic Church,
41.262469,-80.4474574,Miracle Valley Church,
41.158537,-80.086621,Theater Mask & Mural,
41.157194,-80.087153,"Grove City, Pa (1883)",
41.159421,-80.085338,Gone Fishin,
41.169125,-80.107443,5 Flags,A tribute to the branches of the armed forces.
41.139237,-80.157941,Wetlands at Grove City Outlets,Wetland marker and informational plague at the grove city prime outlets.
41.140125,-80.156893,Grove City Post Office,
41.150134,-80.073586,Grove City YMCA,
41.138605,-80.076927,Baptist Church,
41.164501,-80.08327,Fellowship Community Church,
41.168192,-80.083158,Church of the Nazarene,Church
41.273174,-80.138445,Jackson Center Presbyterian Church,
41.319141,-80.259904,Fredonia United Methodist Church,
41.331618,-80.31813,Fredonia Tire Car Art,
41.15471,-80.07761,Hall of Arts and Letters,
40.975755,-80.137687,Cooper's Lake Campground,
41.062826,-80.056748,Slippery Rocks,
41.059757,-80.044542,Art Piece,
41.060598,-80.048615,Junior Rock,
41.061513,-80.052433,Hickory Corner Schoolhouse,
41.06136,-80.051379,Old Main,
41.06166,-80.04451,SRU Waterfall,
41.065025,-80.042858,Slippery Rock University Clock,
41.070427,-80.035487,The Mac,
41.011393,-80.007573,Trailhead Sign Deer Trail and Massasauga Trail,
41.009923,-80.00637,Pavilion,
41.012178,-80.006571,Trail Crossing - Blazing Star & Prairie Loop,
41.064818,-80.05502,Center Presbyterian Church,
41.012444,-80.00189,North Country Trail Head,
41.137514,-80.009398,Washington Trail,
41.136083,-80.009145,Borough of Harrisville PA,
